Question number,Answer,Question,Option A,Option B,Option C,Figures Number ,Explanation,Study Unit
2027,C ,"The correct method of stating 4,500 feet MSL to ATC is","""FORTY-FIVE HUNDRED FEET MSL.''","""FOUR POINT FIVE.''","""FOUR THOUSAND FIVE HUNDRED.''",,"When specifying altitudes, state the separate digits of the thousands, then hundreds if appropriate (for example, 3,500 ft. = ""three thousand, five hundred"").",2
2028,C ,"The correct method of stating 10,500 feet MSL to ATC is","""TEN POINT FIVE.''","""TEN THOUSAND, FIVE HUNDRED FEET.''","""ONE ZERO THOUSAND, FIVE HUNDRED.''",,"When specifying altitudes, state the separate digits of the thousands, then hundreds if appropriate (for example, 3,500 ft. = ""three thousand, five hundred"").",2
2029,A ,The numbers 9 and 27 on a runway indicate that the runway is oriented approximately,090 degrees and 270 degrees magnetic. ,090 degrees and 270 degrees true.,009 degrees and 027 degrees true.,,You can obtain the magnetic heading off of a runway by multiplying the runway number by 10.  Runway numbers are in reference to magnetic north.,2
2030,B ,(Refer to figure 53.) Where is Loup City Municipal located with relation to the city,Northeast approximately 3 miles.,Northwest approximately 1 mile.,East approximately 10 miles.,53,"In the A/FD in the heading for the section ""Loup City Munp"" it says ""1 NW"" which indicates the airport is one mile northwest of the city.",2
2031,C ,(Refer to figure 53.) Traffic patterns in effect at Lincoln Municipal are,to the right on Runway 17 and Runway 36; to the left on Runway 18 and Runway 35.,to the right on Runways 14 - 32.,to the left on Runway 17 and Runway 36; to the right on Runway 18 and Runway 35.,53,"It is stated in the runway section of the A/FD.  There is right traffic if the note ""Rgt tfc."" is included.  If not, there is left traffic.",2
2032,A,Are two way radio communications required at a nontowered airport?,No,Yes,It depends on the airport; See notes in the Airport/Facility Directory,,"Two-way communications are not required at nontowered airports, although it is a good operating practice for pilots to transmit their intentions on the specified frequency for the benefit of other traffic in the area.",2
2033,A,What is the frequency designated for the purpose of carrying out airport advisory practices while operating to or from an airport without an operating control tower? ,Common Traffic Advisory Frequency (CTAF),Unicom,Tower Frequency,,"The Common Traffic Advisory Frequency (CTAF) is the frequency designated for the purpose of carrying out airport advisory practices while operating to or from an airport without an operating control tower. B is incorrect because UNICOM is a nongovernment air/ground radio communication station which may provide airport information at public use airports where there is no tower or FSS. UNICOM may sometimes, but not always, be designated as the CTAF. If so this will be identified in the appropriate aeronautical publications.",2
2034,A,What information does the Chart Supplement contain?,"Information on airports, heliports, and seaplane bases open to the public",Notices to Airmen and Pilot Reports,Regulations pertaining to airport operations,,"The Airport/Facility Directory (A/FD) provides the most comprehensive information on a given airport. It contains information on airports, heliports, and seaplane bases that are open to the public. ",2
2035,B,What does a NOTAM provide?,Hazardous weather information that affects all aircraft,Time-critical information on airports and changes that affect the national airspace system.,Information on permanent changes to airport layout or operations,,Notices to Airmen (NOTAMs) provide the most current information available. They provide time-critical information on airports and changes that affect the national airspace system.,2
2036,B,"What does the letter R designate after a runway number (for example, RWY 25R)?",This runway uses right-hand traffic patterns.,"This airport has parallel runways, and the runway in question is on the right.",This runway is closed.,,"Parallel runways are distinguished by a letter added to the runway number. R designates right, L designates left, and C designates center.",2
2037,A,"(Refer to Figure 27, area 2.) While monitoring the Cooperstown CTAF you hear an aircraft announce that they are midfield left downwind to RWY 13. Where would the aircraft be relative to the runway?",The aircraft is East.,The aircraft is South.,The aircraft is West.,27,,2
2038,C,"(Refer to  Figure 23, area 2.) At Coeur D`Alene which frequency should be used as a Common Traffic Advisory Frequency (CTAF) to monitor airport traffic?",122.05 MHz.,135.075 MHz.,122.8 MHz.,23,,2
2039,B,"To avoid a collision when flying in the vicinity of an airport, an unmanned aircraft pilot should expect manned aircraft to enter the airport with traffic pattern by:",45 degrees to the base leg just below the traffic pattern altitude,45 degrees to the midpoint of the downwind leg at traffic pattern altitude,"Cross over airport at traffic pattern altitude, and then join downwind leg",,"Manned aircraft fly at an angle because it gives them (and others) good visibility to any other airplanes in the traffic pattern. And if they do see another airplane near them, it's easy to turn away from the airport, circle around, and make your 45 degree entry again. They wouldn’t fly to the base leg as that is the transition leg right before landing.",2
3001,A,"When flying a drone around buildings, it becomes difficult to control the drone due to",Frequency interference,Coriolis Effect,Downlink Issues,,"When a building comes in between your drone and the controller, it can behave as a signal blocking obstacle, impairing communications between the drone and the controller. The Coriolis effect is the inertial force that occurs due to the rotation of the Earth, and a downlink issue is a loss of video transmission from the drone and these two options do not effect control of the drone.",3
3002,A,The rudder on an unmanned aircraft controls the,Yaw,Pitch,Roll,,"The rudder is the control surface attached to the fin of an aircraft, which allows yaw to be controlled about the vertical direction (horizontal direction in which nose is pointing). The pitch is controlled by the elevators, and the roll is controlled by ailerons.",3
3003,C ,Which basic flight maneuver increases the load factor on a UAS as compared to straight-and-level flight?,Stalls,Climbs,Turns,,"A change in speed during straight flight will not produce any appreciable change in load, but when a change is made in the UAs flight path, an additional load is imposed upon the structure.  This is particularly true if a change in direction is made at high speeds with rapid, forceful control movements.",3
3004,C ,Which combination of atmospheric conditions will reduce UAS performance?,"High temperature, low relative humidity, and low density altitude.","Low temperature, low relative humidity, and low density altitude.","High temperature, high relative humidity, and high density altitude.",,"An increase in temperature, relative humidity and density altitude reduces engine power output and propeller efficiency, reducing takeoff and climb performance. A is incorrect because low relative humidity increases air density. B is incorrect because low temperature increases air density.",3
3005,C ,Which items are not included in the empty weight of a UAS?,Payload,Batteries or other fuel,Ground control devices,,"A UA must weigh less than 55 pounds to be operated under part 107, including everything that is onboard or otherwise attached to the UAS.",3
3006,A ,What is the Center of Gravity (CG)? ,"CG is the point along the longitudinal axis at which the aircraft, if suspended, would remain level.",CG is the force that opposes weight.,CG is the point at which lift is generated.,,"CG is the fulcrum point at which the aircraft's weight is centered. Lift is the force that opposes weight, and center of lift (CL) is the point at which lift forces are centered.",3
3007,A,"To ensure that the unmanned aircraft center of gravity (CG) limits are not exceeded, follow the aircraft loading instructions specified in the",Pilot's Operating Handbook or UAS Flight Manual.,Aeronautical Information Manual (AIM).,Aircraft Weight and Balance Handbook.,,,3
3008,B,"When operating an unmanned airplane, the remote pilot should consider that the load factor on the wings may be increased anytime",the CG is shifted rearward to the aft CG limit.,the airplane is subjected to maneuvers other than straight and level flight.,the gross weight is reduced.,,,3
3009,C,"A stall occurs when the smooth airflow over the unmanned airplane`s wing is disrupted, and the lift degenerates rapidly. This is caused when the wing",exceeds the maximum speed.,exceeds maximum allowable operating weight.,exceeds it`s critical angle of attack.,,,3
3010,C,"(Refer to Figure 2.) If an unmanned airplane weighs 33 pounds, what approximate weight would the airplane structure be required to support during a 30 degree banked turn while maintaining altitude?",34 pounds.,47 pounds.,38 pounds.,2,,3
3011,A,"According to 14 CFR part 107, who is responsible for determining the performance of a small unmanned aircraft?",Remote pilot-in-command.,Manufacturer.,Owner or operator.,,,3
3012,B,What effect does high density altitude have on the efficiency of a UA propeller?,Propeller efficiency is increased.,Propeller efficiency is decreased.,Density altitude does not affect propeller efficiency.,,,3
3013,B,"When loading cameras or other equipment on an sUAS, mount the items in a manner that:",Is visible to the visual observer or other crewmembers,Does not adversely affect the center of gravity.,Can be easily removed without the use of tools.,,"Before any flight, verify that the unmanned aircraft is correctly loaded by determining the weight and balance condition by reviewing any available manufacturer weight and balance data and following all restrictions and limitations or, if the manufacturer does not provide specific weight and balance data, applying general weight and balance principals to determine limits for a given flight. For example, add weight to the unmanned aircraft in a manner that does not adversely affect the aircrafts center of gravity (CG) location a point at which the unmanned aircraft would balance if it were suspended at that point.",3
3014,A,Which of the following considerations is most relevant to a Remote PIC when evaluating unmanned aircraft performance?,Current weather conditions,The number of available ground crew,The type of the sUAS operation,,"Even though sUAS operations are often conducted at very low altitudes, weather factors can greatly influence performance and safety of flight.",3
3015,B,"What is the maximum weight, including all payload and attached sensors, of a UAS to be operated under part 107?",45 poinds,55 pounds,65 pounds,,Unmanned aircraft must weigh less than 55 lbs. (25 kg).,3
4001,A ,"Every physical process of weather is accompanied by, or is the result of, a",heat exchange.,pressure differential.,movement of air.,,"As water changes from one state to another, an exchange of heat takes place.",4a
4002,B ,A temperature inversion would most likely result in which weather condition?,Good visibility in the lower levels of the atmosphere and poor visibility above an inversion aloft.,An increase in temperature as altitude is increased.,Clouds with extensive vertical development above an inversion aloft.,,A temperature inversion is an atmosphere anomaly when the temperature of the air rises with altitude. A is incorrect because temperature inversion is associated with poor visibility in the lower level of atmosphere. C is incorrect because clouds with extensive vertical development are cumulonimbus.,4a
4003,A ,The most frequent type of ground or surface-based temperature inversion is that which is produced by,"terrestrial radiation on a clear, relatively still night.",warm air being lifted rapidly aloft in the vicinity of mountainous terrain.,"the movement of colder air under warm air, or the movement of warm air over cold air.",,"Surface based temperature inversions occur on clear, cool nights when the air close to the ground is cooled by the lowering temperature of the ground.",4a
4004,A ,Which weather conditions should be expected beneath a low-level temperature inversion layer when the relative humidity is high?,"Smooth air, poor visibility, fog, haze, or low clouds.","Light wind shear, poor visibility, haze, and light rain.","Turbulent air, poor visibility, fog, low stratus type clouds, and showery precipitation.",,"Inversion layers are commonly shallow layers of smooth, stable air close to the ground with poor visibility and low clouds. B and C are incorrect because winds and turbulence are characteristics of unstable air.",4a
4005,C ,What are the standard temperature and pressure values for sea level?,59 F and 29.92 millibars.,59 C and 1013.2 millibars.,"15 C and 29.92"" Hg.",,"Standard sea level pressure is defined as 29.92 ""Hg (1013.25 millibars) and a standard temperature of 59 degrees F (15 degrees C).",4a
4006,B ,Which factor would tend to increase the density altitude at a given airport?,An increase in barometric pressure.,An increase in ambient temperature.,A decrease in relative humidity.,,"Density varies directly with pressure, and inversely with temperature so higher density altitude means lower density. Therefore with constant pressure, higher temperature means higher density altitude.",4a
4007,B ,"What is meant by the term ""dewpoint''?",The temperature at which condensation and evaporation are equal.,The temperature to which air must be cooled to become saturated.,The temperature at which dew will always form.,,It is the definition of dewpoint.,4a
4008,C ,The amount of water vapor which air can hold depends on the,stability of the air.,dewpoint.,air temperature.,,"Temperature largely determines the maximum amount of water vapor air can hold. Warm air can hold more water vapor than cool air. A is incorrect because air stability does not determine how much water vapor air can hold. B is incorrect because dewpoint can only determine relative humidity at a given temperature, and an increase in temperature would in effect raise the amount of water vapor that the air can hold.",4a
4009,C ,"Clouds, fog, or dew will always form when",relative humidity reaches 100 percent.,water vapor is present.,water vapor condenses.,,Visible moistures form through condensation. A is incorrect because visible moisture can form even when relative humidity is below 100 percent. B is incorrect because water vapor can exist as invisible moisture in the atmosphere.,4a
4010,A ,What are the processes by which moisture is added to unsaturated air?,Evaporation and sublimation.,Heating and condensation.,Supersaturation and evaporation.,,"Water vapor is added into the atmosphere only by the processes of evaporation and sublimation. B is incorrect because water vapor is ""taken out"" from the atmosphere during condensation. C is incorrect because supersaturation is a condition, not a process. ",4a
4011,C ,Which conditions result in the formation of frost?,The temperature of the surrounding air is at or below freezing when small drops of moisture fall on the collecting surface.,The temperature of the collecting surface is at or below freezing when small droplets of moisture fall on the surface.,The temperature of the collecting surface is at or below the dewpoint of the adjacent air and the dewpoint is below freezing.,,"When the temperature of air goes down at or below dew point, water vapors will be visible, such as fog or dew. Dew point is the temperature when the air has 100% humidity.  In this case, if the dew point is at or under the freezing, the visible water vapor will be frozen, as it comes to frost. A and B are incorrect because visible water vapor can not be formed without the temperature reaching dewpoint even if it is below freezing.",4a
4012,C ,What measurement can be used to determine the stability of the atmosphere?,Atmospheric pressure.,Surface temperature.,Actual lapse rate.,,The stability of atmosphere is the resistance of the atmosphere to vertical motion. The actual lapse rate is the measurement of drop in temperature as the atmosphere goes far form earth. A and B are incorrect because they do not indicate the atmospheric resistance to vertical motion.,4a
4013,A ,What is a characteristic of stable air?,Stratiform clouds.,Unlimited visibility.,Cumulus clouds.,,"Stable air masses are calm; stratiform clouds are smooth and they do not build vertically like cumulus clouds. B is incorrect because stable air usually contains dust or smoke, which will cause low visibility. C is incorrect because cumulus clouds are a sign of atmospheric instability.",4a
4014,A ,"Moist, stable air flowing upslope can be expected to",produce upslope fog (a type of low cloud).,cause showers and thunderstorms.,develop convective turbulence.,,"Upslope fog occurs when moist, stable air is forced up sloping land features like a mountain range. Fog is also classified as a type of low cloud formation. B is incorrect because a rain or snow is the characteristic of unstable air. C is incorrect because convective turbulence if the up and down air movement, which is obviously unstable.",4a
4015,C ,"If an unstable air mass is forced upward, what type clouds can be expected",Stratus clouds with little vertical development.,Stratus clouds with considerable associated turbulence.,Clouds with considerable vertical development and associated turbulence.,,"Vertical development can form cumulus clouds. Besides, it is easy to associate ""unstable"" with ""turbulence"". A and B are incorrect because stratus clouds mean stable clouds. ",4a
4016,C ,What feature is associated with a temperature inversion?,Chinook winds on mountain slopes.,An unstable layer of air.,A stable layer of air.,,"Temperature inversion is a layer of atmosphere where temperature decreases with height. When it happens, cooler air underlies warmer air and it is a characteristic of stable air. A is incorrect because Chinook winds are not associated with temperature inversion. B is incorrect because unstable air does not create temperature inversion. ",4a
4017,C ,"What is the approximate base of the cumulus clouds if the surface air temperature at 1,000 feet MSL is 70 degrees F and the dewpoint is 48 degrees F?","4,000 feet MSL","5,000 feet MSL","6,000 feet MSL",,"Temperature and dew points merge at a rate of 4.4 degrees F per 1000 feet. So (70-48)/4.4*1000=5000 feet. It means 5000 feet above the given altitude 1000 feet MSL, making it 6000 feet MSL.",4a
4018,B ,At approximately what altitude above the surface would the pilot expect the base of cumuliform clouds if the surface air temperature is 82 degrees F and the dewpoint is 38 degrees F?,"11,000 feet AGL.","10,000 feet AGL.","9,000 feet AGL.",,"Temperature and dew points merge at a rate of 4.4 degrees F per 1000 feet. So (82-38)/4.4*1000=10,000 feet AGL.",4a
4019,B ,"What are characteristics of a moist, unstable air mass?",Poor visibility and smooth air.,Cumuliform clouds and showery precipitation.,Stratiform clouds and showery precipitation.,,"One can always associate ""stable"" with ""Stratiform"" and ""unstable"" with ""Cumuliform"". A is incorrect because stable air usually contains dust or smoke, which will cause low visibility. C is incorrect because stratiform clouds and showery precipitation exist in stable air masses.",4a
4020,A ,What are characteristics of unstable air?,Turbulence and good surface visibility.,Turbulence and poor surface visibility.,Nimbostratus clouds and good surface visibility.,,"Unstable air is often boyent and rising to create turbulence and cumulus cloud formation with good visibility. B is incorrect because stable air usually produces low visibility like on long rainy days, and unstable air will have good visibility associated with thunderstorm activity. C is incorrect because nimbostratus clouds are dark, low-level clouds with precipitation that exist in stable air.",4a
4021,C ,A stable air mass is most likely to have which characteristic?,Turbulent air.,Showery precipitation.,Smooth air.,,"characteristics of stable air: stratiform clouds, continuous precipitation, smooth air, poor visibility. A and B are incorrect because of the following characteristics of unstable air: cumulus clouds, showery precipitation, turbulence, good visibility.",4a
4022,A ,"The suffix ""nimbus,'' used in naming clouds, means",a rain cloud.,a middle cloud containing ice pellets.,a cloud with extensive vertical development.,,"""Nimbus'' means a large gray rain cloud.",4a
4023,A ,Clouds are divided into four families according to their,height range.,composition.,outward shape.,,"The four families of clouds are: high clouds, middle clouds, low clouds, and clouds with extensive vertical development. It is classified by the height.",4a
4024,C ,What clouds have the greatest turbulence?,Towering cumulus.,Nimbostratus.,Cumulonimbus.,,"Cumulonimbus clouds have the greatest turbulence, and lightning is always associated with thunderstorms.",4a
4025,C ,What cloud types would indicate convective turbulence?,Nimbostratus clouds.,Cirrus clouds.,Towering cumulus clouds.,,Convective turbulence is hot and rising air turbulence. B is incorrect  because cirrus clouds are high altitude clouds and nimbostratus clouds are rain clouds. ,4a
4026,C ,Possible mountain wave turbulence could be anticipated when winds of 40 knots or greater blow,"down a mountain valley, and the air is unstable.","parallel to a mountain peak, and the air is stable.","across a mountain ridge, and the air is stable.",,"Mountain waves form when the wind blows perpendicular to a mountain range on the leeward (or downwind) side of the mountains after the wind passes up and over the mountain, creating turbulence and eddies that could ""suck"" an aircraft into the side of the mountain if flying too closely. A and B are both incorrect because the wind runs parallel to the mountain range in these circumstances, and mountain waves are less likely to occur.",4a
4027,C ,Where does wind shear occur?,Only at lower altitudes.,Only at higher altitudes.,"At all altitudes, in all directions.",,"Wind shear is a change in wind speed and/or direction over a short distance, and it can occur at low or high altitude, in any directions.",4a
4028,B ,When may hazardous wind shear be expected?,When stable air crosses a mountain barrier where it tends to flow in layers forming lenticular clouds.,"In areas of low-level temperature inversion, frontal zones, and clear air turbulence.",Following frontal passage when stratocumulus clouds form indicating mechanical mixing.,,"Hazardous wind shear can occur near the ground with either thunderstorms or a strong temperature inversion. A and C are incorrect because turbulence, instead of wind shear, is expected in these situations. ",4a
4029,C ,Why is frost considered hazardous to flight?,"Frost slows the airflow over the airfoils, thereby increasing control effectiveness.","Frost changes the basic aerodynamic shape of the airfoils, thereby decreasing lift.","Frost spoils the smooth flow of air over the wings, thereby decreasing lifting capability.",,"Frost does not change the basic aerodynamic shape of the wing, but the roughness of its surface spoils the smooth flow of air thus causing a slowing of the airflow. This slowing of the air causes early air flow separation over the affected airfoil resulting in a loss of lift.",4a
4030,C ,How does frost affect the lifting surfaces of an airplane on takeoff?,"Frost will change the camber of the wing, increasing lift during takeoff.",Frost may cause the airplane to become airborne with a lower angle of attack at a lower indicated airspeed.,Frost may prevent the airplane from becoming airborne at normal takeoff speed.,,"Frost does not change the basic aerodynamic shape of the wing, but the roughness of its surface spoils the smooth flow of air thus causing a slowing of the airflow. This slowing of the air causes early air flow separation over the affected airfoil resulting in a loss of lift. And the remaining lift may not be enough at the normal takeoff speed.",4a
4031,B,What is pressure altitude?,Altitude corrected for non-standard pressure,"The altitude reading with the altimeter set to 29.92"" Hg",The altitude read off of the face of the altimeter,,"Pressure altitude is defined as the height above the standard datum plane, which is determined by entering the standard pressure, 29.92"" Hg, into the Kollsman window.",4a
4032,C,What is density altitude?,Altitude read off the face of the altimeter,Altitude corrected for non-standard pressure,Pressure altitude corrected for non-standard temperature,,"Density altitude is defined as pressure altitude (altimeter set to 29.92"" Hg) corrected for non-standard temperature. ",4a
4033,A,"What are characteristics of a moist, unstable air mass?",Turbulence and showery precipitation.,Poor visibility and smooth air.,Haze and smoke.,,"One can always associate ""stable"" with ""Stratiform"" and ""unstable"" with ""Cumuliform"". A is incorrect because stable air usually contains dust or smoke, which will cause low visibility. C is incorrect because stratiform clouds and showery precipitation exist in stable air masses.",4a
4034,B,What are the characteristics of stable air?,Good visibility and steady precipitation.,Poor visibility and steady precipitation.,Poor visibility and intermittent precipitation.,,"Characteristics of stable air: stratiform clouds, continuous precipitation, smooth air, poor visibility. A and B are incorrect because of the following characteristics of unstable air: cumulus clouds, showery precipitation, turbulence, good visibility.",4a
4035,C,A stable air mass is most likely to have which characteristic?,Showery precipitation,Turbulent air,Poor surface visibility,,"Characteristics of stable air: stratiform clouds, continuous precipitation, smooth air, poor visibility. B and C are incorrect because of the following characteristics of unstable air: cumulus clouds, showery precipitation, turbulence, good visibility.",4a
4036,B,What factor is primarily responsible for the earth's weather?,Pressure differences,Uneven heating of the earth's surface,The rotation of the earth,,The uneven heating of the earth is responsible for the air circulation patterns which cause weather.,4a
4037,B,What is a standard atmosphere?,"The actual pressure at any given location, regardless of current conditions",A value of air pressure obtained at sea level in standard atmospheric conditions,An atmosphere comprised of five main layers,,A standard atmosphere is a reference pressure obtained at sea level on a standard day.,4a
4038,C,What is the International Standard Atmosphere (ISA)?,"30.02"" Hg and 18 degrees C","29.29"" Hg and 20 degrees C","29.92"" Hg and 15 degrees C",,"ISA is the standard conditions set as a basis for certain flight instruments and most aircraft performance data.  Standard sea level pressure is defined as 29.92"" Hg, and standard sea level temperature is 15 degrees Celsius.",4a
4039,A,What creates convective currents?,Variations in surface resulting in uneven heating,Low pressure systems,Coriolis Effect,,"Different surfaces radiate heat in varying amounts. Plowed ground, rocks, sand, and barren land give off a large amount of heat; water, trees, and other areas of vegetation tend to absorb and retain heat. The resulting uneven heating of the air creates small areas of local circulation called convective currents. Convective currents cause the bumpy, turbulent air sometimes experienced when flying at lower altitudes during warmer weather.",4a
4040,A,What is wind shear?,"A sudden, drastic change in wind speed and/or direction over a very small area",The effect of wind on an aircraft,Large changes in wind speed,,"Wind shear is a sudden, drastic change in wind speed and/or direction over a very small area. Wind shear can subject an aircraft to violent updrafts and downdrafts, as well as abrupt changes to the horizontal movement of the aircraft. ",4a
4041,A,Why is low level wind shear especially hazardous?,Due to the proximity of the aircraft to the ground,It is more severe than high-level wind shear,It is less predictable than high level wind shear,,"Low level wind shear is especially hazardous because of the proximity of an aircraft to the ground, thus increasing the risk of accident.",4a
4042,B,What are the characteristics of wind shear?,Directional wind changes of 180 degrees and speed changes of 50 knots or greater,Directional wind changes of 90 degrees and speed changes of 30 knots or greater,Directional wind changes of 120 degrees and speed changes of 40 knots,,"Directional wind changes of 180 and speed changes of 50 knots or more are associated with low-level wind shear. Low-level wind shear is commonly associated with passing frontal systems, thunderstorms, and temperature inversions with strong upper level winds (greater than 25 knots).",4a
4043,B,The most severe type of wind shear is associated with what?,Occluded fronts,Convective precipitation,Low pressure systems,,"The most severe type of low level wind shear is associated with convective precipitation, or rain from thunderstorms.",4a
4044,C,What is the stability of the atmosphere dependent upon?,Its temperature,Its pressure,Its ability to resist vertical motion,,"Atmospheric stability is dependent on its ability to resist vertical motion. A stable atmosphere makes vertical movement difficult, and small vertical disturbances dampen out and disappear. In an unstable atmosphere, small vertical air movements tend to become larger, resulting in turbulent airflow and convective activity. ",4a
4045,C,What normally happens to air as it rises and expands in the atmosphere?,Pressure increases,Temperature increases,Temperature decreases,,"As air rises, temperature decreases.  The standard temperature lapse rate is 2 degrees Celsius per 1,000 ft increase in altitude.",4a
4046,C,What is a temperature inversion?,When temperature remains constant throughout the atmosphere,When temperature decreases at greater than the standard lapse rate,When temperature rises with altitude,,"A temperature inversion is when temperature increases with altitude.  Inversion layers are commonly shallow layers of smooth, stable air close to the ground. The temperature of the air increases with altitude to a certain point, which is the top of the inversion. ",4a
4047,C,What is humidity?,The amount of visible moisture in the atmosphere,The relationship between dew point and temperature,The amount of water vapor in the atmosphere,,Humidity refers to the amount of water vapor present in the atmosphere at any given time.,4a
4048,A,What is relative humidity?,Amount of moisture in the air compared to the total amount of moisture the air could hold at that temperature,The difference in humidity measurements from different times of day,The amount of water vapor in the air compared to the standard humidity level,,"Relative humidity is the actual amount of moisture in the air compared to the total amount of moisture the air could hold at that temperature. For example, if the current relative humidity is 65 percent, the air is holding 65 percent of the total amount of moisture that it is capable of holding at that temperature and pressure. ",4a
4049,A,Which is not a method by which air can reach the complete saturation point?,Cold air moving over a warm surface,Air is lifted upward in the atmosphere,Air cools at night through contact with the ground,,"Air reaches its saturation point by cooling, or by receiving more moisture.  A is incorrect because this would result in an increase in air temperature.",4a
4050,A,What type of clouds are most hazardous?,Clouds with extensive vertical development,Cumulus clouds,Stratus clouds,,"Clouds with extensive vertical development are the most dangerous type. Towering cumulus clouds indicate areas of instability in the atmosphere, and the air around and inside them is turbulent. These types of clouds often develop into cumulonimbus clouds or thunderstorms. Cumulonimbus clouds contain large amounts of moisture and unstable air, and usually produce hazardous weather phenomena, such as lightning, hail, tornadoes, gusty winds, and wind shear. These extensive vertical clouds can be obscured by other cloud formations and are not always visible from the ground or while in flight. When this happens, these clouds are said to be embedded, hence the term, embedded thunderstorms. To pilots, the cumulonimbus cloud is perhaps the most dangerous cloud type.",4a
4051,C,What is a ceiling?,The lowest layer of clouds,The lowest layer of broken clouds,"The lowest layer of clouds reported as broken or overcast, or the vertical visibility into an obscuration such as fog or haze",,"For aviation purposes, a ceiling is defined as the lowest layer of clouds reported as being broken or overcast, or the vertical visibility into an obscuration like fog or haze.  ",4a
4052,C ,The boundary between two different air masses is referred to as a,frontogenesis.,frontolysis.,front.,,The definition of a front is simply the boundary between two air masses.,4b
4053,B ,One of the most easily recognized discontinuities across a front is,an increase in cloud coverage.,a change in temperature.,an increase in relative humidity.,,Temperature change is the most significant change when passing across a front.,4b
4054,C ,One weather phenomenon which will always occur when flying across a front is a change in the,stability of the air mass.,type of precipitation.,wind direction.,,Wind always changes in speed or direction across a front.,4b
4055,A ,One in-flight condition necessary for structural icing to form is,visible moisture.,stratiform clouds.,small temperature/dewpoint spread.,,There are two necessary conditions of structural icing: visible moisture and outside air temperature is 0 C or below.,4b
4056,A ,The conditions necessary for the formation of cumulonimbus clouds are a lifting action and,"unstable, moist air.",either stable or unstable air.,unstable air containing an excess of condensation nuclei.,,"To form cumulonimbus clouds (thunderstorm), unstable air, high humidity, and lifting action are necessary.",4b
4057,A ,What feature is normally associated with the cumulus stage of a thunderstorm?,Continuous updraft.,Roll cloud.,Frequent lightning.,,Cumulus is the building stage of a thunderstorm when there are continuous updrafts.,4b
4058,B ,Which weather phenomenon signals the beginning of the mature stage of a thunderstorm?,Maximum growth rate of the clouds.,Precipitation beginning to fall.,The appearance of an anvil top.,,The mature stage of a thunderstorm comes with rain falling at the surface.,4b
4059,B ,What conditions are necessary for the formation of thunderstorms?,"High humidity, high temperature, and cumulus clouds.","High humidity, lifting force, and unstable conditions.","Lifting force, moist air, and extensive cloud cover.",,"To form a thunderstorm (cumulonimbus clouds), unstable air, high humidity, and lifting action are necessary.",4b
4060,B ,"During the life cycle of a thunderstorm, which stage is characterized predominately by downdrafts?",Cumulus,Dissipating,Mature,,Dissipating is the end of the storm with only downdrafts and the storm begins raining itself out.,4b
4061,B ,Thunderstorms reach their greatest intensity during the,cumulus stage.,mature stage.,downdraft stage.,,Mature stage has the greatest intensity with both updrafts and down drafts.,4b
4062,A ,Thunderstorms which generally produce the most intense hazard to aircraft are,squall line thunderstorms.,warm front thunderstorms.,steady-state thunderstorms.,,"Squall line thunderstorms can produce heavy hail, destructive winds, or tornadoes.",4b
4063,A ,"A nonfrontal, narrow band of active thunderstorms that often develop ahead of a cold front is a known as a",squall line.,prefrontal system.,dry line.,,It is the definition of a squall line.,4b
4064,C ,"If the temperature/dewpoint spread is small and decreasing, and the temperature is 62 F, what type weather is most likely to develop",Thunderstorms.,Freezing precipitation.,Fog or low clouds.,,"When the temperature and dew point are close, and the temperature is above freezing, it is more likely to form fog.",4b
4065,B ,Which is considered to be the most hazardous condition when soaring in the vicinity of thunderstorms?,Static electricity.,Wind shear and turbulence.,Lightning.,,"Static electricity and lightening may not cause much risk to aircrafts, but turbulence and winder-shear may cause the pilot to lose control of the aircraft.",4b
4066,B ,Which weather phenomenon is always associated with a thunderstorm?,Hail.,Lightning.,Heavy rain.,,It is common sense that a thunderstorm is associated with lightening.,4b
4067,B,What is the most violent time period of a thunderstorm's life cycle?,Dissipating stage,Mature stage,Cumulus stage,,"During the mature stage, drops of moisture, whether rain or ice, are too heavy for the cloud to support and begin falling in the form of rain or hail. This creates a downward motion of the air. Warm, rising air; cool, precipitation-induced descending air; and violent turbulence all exist within and near the cloud.",4b
4068,B,What surface conditions exist below a mature thunderstorm?,"Increased winds, increased temperature","Increased winds, decreased temperature","Decreased winds, decreased temperature",,"Below a mature thunderstorm, down-rushing air increases surface winds and decreases the temperature.",4b
4069,B,What marks the beginning of the dissipating stage of a thunderstorm?,Updrafts begin to be replaced with downdrafts.,Downdrafts spread out and replace the updrafts.,The updrafts and downdrafts cease.,,"At the dissipating stage, downdrafts spread out and replace the updrafts needed to sustain the storm.",4b
4070,A,What is a front?,The boundary between two types of air masses,A ridge of high pressure air,A trough of low pressure air,,"As an air mass moves across bodies of water and land, it eventually comes in contact with another air mass with different characteristics. The boundary layer between two types of air masses is known as a front. ",4b
4071,B,What is associated with an approaching front?,Pressure will soon drop,An upcoming change in weather,Temperature will soon rise,,Changes of weather will occur with any frontal passage.,4b
4072,B,Which of these is not a type of front?,Stationary,High pressure,Occluded,,"The four types of fronts are warm, cold, stationary, and occluded.",4b
4073,B,What is a squall line?,An elongated thunderstorm,A narrow band of active thunderstorms,The boundary between two thunderstorm cells,,A squall line is a narrow band of active thunderstorms.,4b
